Municipal,Disinfectant,Non Health Aesthetic,Operational
!Kheis Local Municipality,No Data,100%,82%
Albert Luthuli Local Municipality,0%,90%,66%
Alfred Nzo District municipality,17%,100%,96%
Amajuba District municipality,28%,100%,90%
Amatole District municipality,15%,95%,81%
Beaufort West Local Municipality,77%,94%,96%
Bela-Bela Local Municipality,56%,99%,90%
Bergrivier Local Municipality,14%,99%,93%
Bitou Local Municipality,100%,100%,100%
Blue Crane Route Local Municipality,No Data,No Data,80%
Breede Valley Local Municipality,64%,100%,82%
Buffalo City Local Municipality,98%,99%,87%
Bushbuckridge Local Municipality,99%,96%,91%
Cape Agulhas Local Municipality,7%,89%,87%
Capricorn District municipality,No Data,100%,68%
Cederberg Local Municipality,4%,92%,88%
Chris Hani District municipality,26%,99%,77%
City of Cape Town Metropolitan Municipality,83%,100%,99%
City of Ekurhuleni,96%,100%,99%
City of Johannesburg Metropolitan Municipality,92%,100%,99%
City of Tshwane Metropolitan Municipality,31%,95%,92%
Dawid Kruiper,95%,92%,79%
Dihlabeng Local Municipality,79%,100%,93%
Dikgatlong Local Municipality,No Data,88%,66%
Dipaleseng Local Municipality,No Data,No Data,No Data
Dr Beyers Naude,No Data,75%,84%
Dr JS Moroka Local Municipality,7%,76%,76%
Dr. Ruth S Mompati District Municipality,48%,98%,81%
Drakenstein Local Municipality,61%,100%,93%
Emakhazeni Local Municipality,No Data,No Data,56%
Emalahleni Local Municipality,28%,99%,88%
Emfuleni Local Municipality,No Data,93%,90%
Emthanjeni Local Municipality,No Data,No Data,67%
eThekwini Metropolitan Municipality,80%,100%,98%
Ga-Segonyana Local Municipality,No Data,100%,95%
Gamagara Local Municipality,No Data,99%,85%
George Local Municipality,97%,98%,97%
Govan Mbeki Local Municipality,41%,100%,98%
Greater Sekhukhune District Municipality,72%,100%,89%
Hantam Local Municipality,66%,84%,89%
Harry Gwala District municipality,54%,95%,86%
Hessequa Local Municipality,17%,83%,80%
iLembe District municipality,68%,98%,89%
JB Marks Local Municipality,95%,100%,98%
Joe Gqabi District municipality,No Data,92%,88%
Joe Morolong Local Municipality,No Data,No Data,No Data
Kai !Garib Local Municipality ,14%,95%,78%
Kamiesberg Local Municipality,No Data,No Data,No Data
Kannaland Local Municipality,No Data,No Data,86%
Kareeberg Local Municipality,No Data,99%,80%
Karoo Hoogland Local Municipality,No Data,99%,95%
Kgatelopele Local Municipality,No Data,No Data,No Data
Kgetlengrivier Local Municipality,33%,96%,80%
Khai-Ma Local Municipality,No Data,No Data,No Data
King Cetshwayo DM,39%,92%,77%
Knysna Local Municipality,36%,98%,76%
Kopanong Local Municipality,No Data,No Data,100%
Kou-Kamma Local Municipality,No Data,No Data,No Data
Kouga Local Municipality,50%,95%,98%
Laingsburg Local Municipality,98%,93%,87%
Langeberg Municipality,27%,100%,91%
Lekwa Local Municipality,27%,78%,74%
Lephalale Local Municipality,21%,No Data,92%
Lesedi Local Municipality,No Data,99%,99%
Letsemeng Local Municipality,11%,91%,84%
Local Municipality of Madibeng,58%,97%,83%
Mafube Local Municipality,No Data,No Data,No Data
Magareng Local Municipality,No Data,75%,80%
Makana Local Municipality,16%,93%,81%
Maluti a Phofung Local Municipality,No Data,No Data,No Data
Mangaung,28%,96%,91%
Mantsopa Local Municipality,28%,86%,60%
Maquassi Hills Local Municipality,No Data,No Data,No Data
Masilonyana Local Municipality,13%,93%,53%
Matjhabeng Local Municipality,No Data,No Data,No Data
Matlosana Local Municipality,9%,99%,84%
Matzikama Local Municipality,No Data,96%,83%
Mbombela/Umjindi,98%,96%,93%
Merafong City Local Municipality,6%,100%,100%
Metsimaholo Local Municipality,17%,92%,90%
Midvaal Local Municipality,15%,100%,97%
Mkhondo Local Municipality,15%,98%,86%
Modimolle/Mookgophong,No Data,No Data,No Data
Mogalakwena Local Municipality,0%,98%,70%
Mogale City Local Municipality,22%,100%,99%
Mohokare Local Municipality,No Data,87%,91%
Mopani District municipality,53%,99%,86%
Moqhaka Local Municipality,11%,91%,82%
Moretele Local Municipality,No Data,No Data,No Data
Moses Kotane Local Municipality,22%,91%,91%
Mossel Bay Local Municipality,1%,93%,93%
Msukaligwa Local Municipality,37%,99%,76%
Nala Local Municipality,55%,100%,89%
Nama Khoi Local Municipality,25%,93%,82%
Ndlambe Local Municipality,59%,89%,97%
Nelson Mandela Metropolitan Municipality,77%,98%,89%
Newcastle Local Municipality,77%,100%,95%
Ngaka Modiri Molema District Municipality,17%,99%,86%
Ngwathe Local Municipality,No Data,100%,90%
Nketoana Local Municipality,0%,100%,91%
Nkomazi Local Municipality,50%,93%,72%
O.R.Tambo District municipality,20%,87%,81%
Oudtshoorn Local Municipality,47%,84%,80%
Overstrand Local Municipality,97%,99%,97%
Phokwane Local Municipality,8%,78%,79%
Phumelela Local Municipality,No Data,99%,93%
Pixley Ka Seme Local Municipality,25%,98%,83%
Polokwane Local Municipality,26%,99%,97%
Prince Albert Local Municipality,11%,89%,80%
Rand West City,No Data,99%,98%
Renosterberg Local Municipality,No Data,No Data,No Data
Richtersveld Local Municipality,No Data,95%,100%
Rustenburg Local Municipality,67%,99%,95%
Saldanha Bay Local Municipality,No Data,99%,98%
Setsoto Local Municipality,48%,95%,80%
Siyancuma Local Municipality,0%,96%,85%
Siyathemba Local Municipality,No Data,No Data,No Data
Sol Plaatjie Local Municipality,99%,93%,81%
Stellenbosch Local Municipality,89%,98%,92%
Steve Tshwete Local Municipality,82%,96%,87%
Sunday`s River Valley Local Municipality,No Data,No Data,80%
Swartland Local Municipality,8%,100%,96%
Swellendam Local Municipality,9%,99%,73%
Thaba Chweu Local Municipality,No Data,No Data,No Data
Thabazimbi Local Municipality,No Data,No Data,No Data
The Msunduzi Local Municipality,99%,100%,100%
Theewaterskloof Local Municipality,25%,96%,74%
Thembelihle Local Municipality,46%,100%,94%
Thembisile Local Municipality,6%,100%,93%
Tswelopele Local Municipality,100%,100%,95%
Ubuntu Local Municipality,No Data,90%,83%
Ugu District municipality,50%,97%,90%
UMgungundlovu District municipality,63%,99%,97%
uMhlathuze Local Municipality,52%,100%,94%
Umkhanyakude District municipality,9%,97%,88%
Umsobomvu Local Municipality,No Data,No Data,93%
Umzinyathi District municipality,16%,94%,87%
Uthukela District municipality,18%,93%,55%
Vhembe District municipality,38%,99%,78%
Victor Khanye Local Municipality,42%,99%,95%
Witzenberg Local Municipality,59%,99%,88%
Zululand District municipality,66%,94%,86%